N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;OPERADOR
299;PLANTA INDUSTRIAL SUSY SAL;-30,426528;-64,336306;Cloruro de sodio;Córdoba;Producción;EL RETUMBADERO SRL
300;OWL;-43,1830556;-66,692792;Cuarzo;Chubut;Producción;OWL Mines And Oil S.A.
301;Dique Ameghino;-43,6216056;-66,3808722;Arcillas;Chubut;Producción;Piedra Grande S.A.M.I.C.A y F
302;Grecia;-43,6000972;-66,12484722;Arcillas;Chubut;Producción;Ceramica San Lorenzo I.C.S.A
303;Margen Sur 04;-43,5590556;-66,12449444;Arcillas;Chubut;Producción;Minera Don antonio S.A.
304;Leonetta I;-43,6461417;-66,23988611;Arcillas;Chubut;Producción;Barda Negra S.R.L
305;Silvia I;-42,0704917;-71,53915;Turba;Chubut;Producción;Cía de Minas Magri S.A.
306;El Escribano;-42,37158610;-66,3906111;Pórfido;Chubut;Producción;United Stone S.A.
307;El Porvenir;-42,32456940;-66,21865833;Pórfido;Chubut;Producción;Patagonia Stone S.A.
308;Tehuelche;-42,72889720;-65,89836944;Pórfido;Chubut;Producción;Techstone S.A. // Porphiris S.A.
309;Colhue Huapi;-45,68701670;-68,77844444;Arenas silíceas;Chubut;Producción;Petroquimica ComodOro Rivadavia S.A
310;La Celina;-45,34723610;-68,23489722;Yeso;Chubut;Producción;Petroquimica ComodOro Rivadavia S.A
311;Tetas de Pineda;-45,09013890;-68,78033611;Caliza;Chubut;Producción;Petroquimica ComodOro Rivadavia S.A
312;Solano Sur;-45,71690560;-67,37690833;Granulado volcánico;Chubut;Producción;Petroquimica ComodOro Rivadavia S.A
313;El Cedro;-43,29555000;-65,25250556;Arena;Chubut;Producción;Constructora Vialpat S.R.L.
314;Mailen;-43,32330280;-65,32716667;Arena;Chubut;Producción;Oscar Evans Quiliñan
315;San Jorge;-45,78205280;-67,42126944;Arena;Chubut;Producción;Transportes Rada Tilly S.A.
316;La Mimosa;-43,28729720;-65,02631111;Arena;Chubut;Producción;Aridos Fontana S.R.L.
317;Puerto Lobos;-42,03049720;-65,06462500;Arena;Chubut;Producción;Aurelio Viegas Costa
318;Agua Clara;-42,25885560;-71,34897500;Arena;Chubut;Producción;Dardo Horacio Villagran
319;Sogiris;-42,73715560;-65,27847222;Arena;Chubut;Producción;Matias Dadam
320;Loma Maria;-43,16989720;-65,26274722;Arena;Chubut;Producción;Sebastian Pelliciuoli
321;Valle Hermoso;-45,73153330;-68,46230278;Arena;Chubut;Producción;Alberto Iñurrita
322;La Recompensa;-42,93875830;-71,22501389;Arena;Chubut;Producción;Armando Suarez Caveri
323;Solano Central;-45,67857500;-67,43657500;Arena;Chubut;Producción;Rigel S.A.
324;San Ceferino;-42,53211390;-65,10901944;Arena;Chubut;Producción;Servial S.A.
325;Baroni;-43,85253330;-67,98075556;Arena;Chubut;Producción;C N Sapag S.A.
326;Enki;-42,62372500;-65,09148056;Arena;Chubut;Producción;Transportes Redondo S.A.
327;La Nicolasa;-45,92415830;-71,37840000;Arena;Chubut;Producción;CPC S.A
328;La Loma;-42,21323060;-71,40024444;Arena;Chubut;Producción;Yolanda Nelida Santillan
329;Lepa;-42,59300000;-71,07222222;Arena;Chubut;Producción;Compañía de Tierras Sus Argentino S.A.
330;Cerámica Garuhapé;-26,790973;-54,959021;Arcillas;Misiones;Producción;Cerámica Garuhapé
331;Cerámica Garuhapé;-26,840234;-54,968025;Arcillas;Misiones;Producción;Cerámica Garuhapé
332;HASSENRUCK, Aldo Omar;-26,854002;-54,015627;Arcillas;Misiones;Producción;HASSENRUCK, Aldo Omar
333;SCHERF, Javier;-26,847195;-54,029475;Arcillas;Misiones;Producción;SCHERF, Javier
334;Félix Scherf;-26,817593;-54,980041;Arcillas;Misiones;Producción;Félix Scherf
335;Adolfo Graef;-26,878579;-54,98444;Arcillas;Misiones;Producción;Adolfo Graef
336;GRAEF, Hugo E.;-26,849417;-54,981662;Arcillas;Misiones;Producción;GRAEF, Hugo E.
337;Raúl García Macaya;-26,878615;-54,984378;Arcillas;Misiones;Producción;Raúl García Macaya
338;Félix Scherf;-26,843831;-54,958616;Arcillas;Misiones;Producción;Félix Scherf
339;Félix Scherf;-26,787965;-54,947082;Arcillas;Misiones;Producción;Félix Scherf
340;Cerámica Garuhapé;-26,851551;-54,980864;Arcillas;Misiones;Producción;Cerámica Garuhapé
341;Cerámica Garuhapé;-26,835274;-54,879931;Arcillas;Misiones;Producción;Cerámica Garuhapé
342;Federico Javier Irschick;-26,819791;-54,935464;Arcillas;Misiones;Producción;Federico Javier Irschick
343;Kleinubing, Rubén;-26,844302;-54,102765;Arcillas;Misiones;Producción;Kleinubing, Rubén
344;Cerámica Brinzal SRL (Cantri);-27,475903;-55,778121;Arcillas;Misiones;Producción;Cerámica Brinzal SRL (Cantri)
345;Cerámica Graef Bernardo;-26,907535;-54,970229;Arcillas;Misiones;Producción;Cerámica Graef Bernardo
346;"Cantera ""Kuchaski""";-27,241667;-55,566667;Triturados pétreos;Misiones;Producción;"Cantera ""Kuchaski"""
347;"Cantera ""Las Piedritas""";-27,505556;-55,450278;Triturados pétreos;Misiones;Producción;"Cantera ""Las Piedritas"""
348;"Cantera ""San Martín""";-27,474669;-55,263577;Triturados pétreos;Misiones;Producción;"Cantera ""San Martín"""
349;"Cantera KISAITI ""Martirez""";-27,433003;-55,409018;Triturados pétreos;Misiones;Producción;"Cantera KISAITI ""Martirez"""
350;Cantera Don Luis;-27,393131;-56,015264;Triturados pétreos;Misiones;Producción;Cantera Don Luis
351;"Cantera ""Nedel""";-26,810991;-55,018471;Triturados pétreos;Misiones;Producción;"Cantera ""Nedel"""
352;"Cantera ""San Vicente""";-27,008867;-54,564719;Triturados pétreos;Misiones;Producción;"Cantera ""San Vicente"""
353;Cantera Caballero A.;-27,128225;-55,470641;Triturados pétreos;Misiones;Producción;Cantera Caballero A.
354;"Cantera ""San Miguel""";-27,089161;-55,299744;Triturados pétreos;Misiones;Producción;"Cantera ""San Miguel"""
355;"Cantera ""Gonzalez Fernando""";-27,452313;-55,937781;Triturados pétreos;Misiones;Producción;"Cantera ""Gonzalez Fernando"""
356;"Canteras ""Felmar S.R.L.""";-27,509218;-55,079896;Triturados pétreos;Misiones;Producción;"Canteras ""Felmar S.R.L."""
357;"Cantera ""Minera Ruta 19""";-25,966485;-54,514851;Triturados pétreos;Misiones;Producción;"Cantera ""Minera Ruta 19"""
