N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;CONTROLANTE (1°);PORCENTAJE (1°);ORIGEN (1°);CONTROLANTE (2°);ORIGEN (2°);PORCENTAJE (2°);CONTROLANTE (3°);PORCENTAJE (3°);ORIGEN (3°);;;;;;;;;;
52;Cauchari-Olaroz;-23,41623;-66,71316;Litio;Jujuy;Producción;Ganfeng Lithium Co. Ltd.;46,7%;China;Lithium Argentina;Suiza;44,8%;Jujuy Energia y Mineria;8,5%;Argentina;;;;;;;;;;
53;Cazadero Grande;-27,4436;-68,129047;Litio;Catamarca;Exploración inicial;CAMYEN SE;100%;Argentina;;;;;;;;;;;;;;;;
54;Centenario;-24,68115349;-66,61912636;Litio;Salta;Exploración avanzada;Lithium Power International Ltd. ;100%;Australia;;;;;;;;;;;;;;;;
55;Centenario ;-24,845;-66,8;Oro;Salta;Exploración inicial;Chengxin Lithium Group. Co.;100%;China;;;;;;;;;;;;;;;;
56;Centenario-Ratones;-25,09077;-66,81628;Litio;Salta;Producción;Eramet;100%;Francia;;;;-;-;-;;;;;;;;;;
57;Cerro Amarillo;-35,27361;-70,15611;Cobre;Mendoza;Exploración inicial;Wincul S.A.;100%;Argentina;;;;;;;;;;;;;;;;
58;Cerro Atajo;-27,332918;-66,456819;Cobre;Catamarca;Exploración avanzada;CAMYEN SE;100%;Argentina;;;;;;;;;;;;;;;;
59;Cerro Blanco;-40,965;-67,845;Plata;Río Negro;Exploración inicial;;;;;;;;;;;;;;;;;;;
60;Cerro Choique;-40,88199;-67,84295;Oro;Río Negro;Exploración inicial;Trendix Mining SRL;100%;Argentina;;;;;;;;;;;;;;;;
61;Cerro Gordo;-24,716;-66,437;Oro;Salta;Exploración inicial;Cascadero Minerals S.A.;;;;;;;;;;;;;;;;;;
62;Cerro Juncal;-24,767;-66,769;Oro;Salta;Exploración inicial;Minera Cerro Juncal S.A.;;;;;;;;;;;;;;;;;;
63;Cerro Moro;-48,11;-66,65;Oro;Santa Cruz;Producción;Pan American Silver Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
64;Cerro Negro;-46,90743;-70,22152;Oro;Santa Cruz;Producción;Newmont Goldcorp;100%;Estados Unidos;-;-;-;-;-;-;;;;;;;;;;
